masterID,masterTime,mastermag,masterlat,masterlon,masterdep,egfID,egfTime,egfmag,M0,magdif,egflat,egflon,egfdep,rgp,rgp_fit,rgp_fc_std,rgp_fc_mean
10001810,2017-02-21T14:09:04,6.5,-19.27,-63.79,606,4372924,2014-01-27T16:42:37,5.6,6.23734835482422E+018,0.9,-19.24,-63.85,609.24,11,[25.79364968  0.18502835  0.1178149 ],0.006530989016564,0.119132369836155
9953968,2017-01-10T06:13:47,7.3,4.57,122.78,621.5,1542753,2003-07-01T05:52:24,6,9.88553094656941E+019,1.3,4.69,122.67,604.6,41,[3.67560363e+02 2.43225197e-01 8.44623705e-02],0.002039639195668,0.083993541214389
5183873,2016-05-27T04:08:43,6.4,-20.77,-178.61,581.4,10683512,2018-03-09T16:23:23,5.7,4.41570447353312E+018,0.7,-20.89,-178.7,568,13,[16.53404285  0.2285003   0.10767557],0.004817527185768,0.101388598119143
5183873,2016-05-27T04:08:43,6.4,-20.77,-178.61,581.4,4370315,2013-12-17T17:02:01,5.7,4.41570447353312E+018,0.7,-20.64,-178.75,614.2,10,[25.14787776  0.11085483  0.05220681],0.002559001968286,0.054721496742314
5149896,2015-06-23T12:18:30,6.5,27.68,139.85,458.5,10401792,2017-09-07T17:26:49,6,6.23734835482422E+018,0.5,27.79,139.75,459.8,270,[7.70997905 0.07606722 0.04416009],0.002877212092947,0.040929764950109
4725571,2014-07-21T14:54:41,6.9,-19.68,-178.32,627.1,8887463,2012-10-25T18:40:38,5.5,2.48313310529557E+019,1.4,-19.78,-178.13,606,4,[8.57391432e+01 1.82093435e-01 5.83092114e-02],0.00376971365838,0.053413750574148
4218030,2013-05-14T00:32:26,6.8,18.67,145.35,604.7,5166177,2015-11-24T13:21:35,6,1.7579236139587E+019,0.8,18.82,145.26,582.5,138,[17.27002584  0.19344452  0.11500499],0.00299281299292,0.115083368499609
3340371,2012-05-28T05:07:23,6.7,-28.25,-63.07,591.6,946834,2000-04-23T17:01:17,6.1,1.24451461177138E+019,0.600000000000001,-28.43,-62.96,610.4,6,[18.03939582  0.14528186  0.08007038],0.005084866549008,0.072837527997451
3318957,2011-07-29T07:42:22,6.7,-23.78,179.92,539,2257090,2006-03-20T17:38:07,5.8,1.24451461177138E+019,0.9,-23.85,179.97,550.7,15,[8.02193685e+01 1.46605600e-01 7.33656669e-02],0.003101907441022,0.068897189463237
3282255,2011-04-03T14:07:08,6.4,-17.65,-178.45,562.3,10452819,2017-11-07T09:01:39,5.8,4.41570447353312E+018,0.600000000000001,-17.58,-178.53,570.5,20,[42.84357522  0.17629997  0.10178088],0.005781832827495,0.098890645416993
3282255,2011-04-03T14:07:08,6.4,-17.65,-178.45,562.3,2862473,2008-12-17T10:55:59,5.8,4.41570447353312E+018,0.600000000000001,-17.77,-178.3,547.8,8,[17.66941432  0.19512093  0.1139735 ],0.00660671198812,0.113945357047285
3207531,2011-01-01T09:56:58,7,-27.02,-63.21,586,2360131,2006-09-22T02:32:24,6,3.50751873952569E+019,1,-26.85,-63.05,602.4,63,[36.5728455   0.16900569  0.09230063],0.004075238427051,0.092944522211175
3207531,2011-01-01T09:56:58,7,-27.02,-63.21,586,1831773,2004-11-13T07:33:16,5.8,3.50751873952569E+019,1.2,-26.83,-63.2,582,10,[91.1810608   2.00874396  0.96721821],0.056251678307725,1.00469293680469
3207531,2011-01-01T09:56:58,7,-27.02,-63.21,586,1825064,2004-11-12T06:36:15,6,3.50751873952569E+019,1,-26.85,-63.18,583.1,18,[27.08885284  1.56730082  0.8863202 ],0.044204355482243,0.9513804558407
2850834,2010-05-24T16:18:28,6.4,-8.08,-71.64,591.4,1573338,2003-04-27T22:57:44,5.9,4.41570447353312E+018,0.5,-8.2,-71.56,580.2,41,[9.71275613 0.16493567 0.12381304],0.010949743290066,0.122577104870825
2704829,2008-01-15T17:52:16,6.5,-22.05,-179.34,603.3,5174891,2016-02-20T15:51:22,5.8,6.23734835482422E+018,0.7,-22.01,-179.4,593,29,[25.06335546  0.25050468  0.14353825],0.013409742946382,0.141133152958532
2186707,2006-02-02T12:48:43,6.7,-17.77,-178.13,611.6,932438,2000-09-02T10:19:10,5.7,1.24451461177138E+019,1,-17.82,-178.3,620.9,3,[14.51029958  0.16252963  0.10912192],0.005252218432886,0.107760027580439
1833055,2004-07-15T04:27:13,7.1,-17.68,-178.52,577.2,10641454,2018-02-09T11:43:56,6,4.95450190804791E+019,1.1,-17.8,-178.54,571.3,7,[21.25460624  2.21844606  0.86322352],0.041946076400588,0.916473849188674
1833055,2004-07-15T04:27:13,7.1,-17.68,-178.52,577.2,10452819,2017-11-07T09:01:39,5.8,4.95450190804791E+019,1.3,-17.58,-178.53,570.5,6,[75.05651883  0.22727821  0.08784864],0.005422666872897,0.084192290253885
1833055,2004-07-15T04:27:13,7.1,-17.68,-178.52,577.2,2841270,2009-11-22T07:48:21,6.3,4.95450190804791E+019,0.8,-17.72,-178.36,546.4,17,[14.23512746  0.2111869   0.1281123 ],0.005586584253846,0.126566059802549
