masterID,masterTime,mastermag,masterlat,masterlon,masterdep,egfID,egfTime,egfmag,M0,magdif,egflat,egflon,egfdep,S_rg,S_rg_fit,S_rg_fc_std,S_rg_fc_mean
10972756,2018-11-18T20:25:45,6.8,-17.85,-178.78,561.2,10641454,2018-02-09T11:43:56,6,1.7579236139587E+019,0.8,-17.8,-178.54,571.3,19,[22.79859264  0.15697647  0.07604934],0.001996287499877,0.076131457888386
10972756,2018-11-18T20:25:45,6.8,-17.85,-178.78,561.2,4810015,2014-09-30T22:34:28,5.5,1.7579236139587E+019,1.3,-17.85,-178.59,587,4,[29.59298266  1.13438885  0.36943475],0.031653192921248,0.392469593672815
10394345,2017-08-19T02:00:52,6.5,-17.8,-178.77,559.8,10641454,2018-02-09T11:43:56,6,6.23734835482422E+018,0.5,-17.8,-178.54,571.3,17,[10.70042949  0.1008499   0.05826857],0.002479211202951,0.058253357769816
5183873,2016-05-27T04:08:43,6.4,-20.77,-178.61,581.4,10683512,2018-03-09T16:23:23,5.7,4.41570447353312E+018,0.7,-20.89,-178.7,568,4,[10.54463888  0.60681515  0.31013573],0.017446410263972,0.311452275686554
5183873,2016-05-27T04:08:43,6.4,-20.77,-178.61,581.4,4370315,2013-12-17T17:02:01,5.7,4.41570447353312E+018,0.7,-20.64,-178.75,614.2,9,[11.31962612  0.18419322  0.11927226],0.039172846785443,0.123665950278722
5149896,2015-06-23T12:18:30,6.5,27.68,139.85,458.5,10401792,2017-09-07T17:26:49,6,6.23734835482422E+018,0.5,27.79,139.75,459.8,155,[7.06639837 0.12600294 0.07642456],0.001804838033201,0.076410218450872
5007016,2015-02-27T13:45:05,7,-7.35,122.5,551.5,5191265,2016-08-23T19:39:44,6.1,3.50751873952569E+019,0.9,-7.29,122.48,534.5,97,[21.81282194  0.26835781  0.10746782],0.004370248066454,0.110366979501655
4725571,2014-07-21T14:54:41,6.9,-19.68,-178.32,627.1,8887463,2012-10-25T18:40:38,5.5,2.48313310529557E+019,1.4,-19.78,-178.13,606,3,[37.94228589  1.30229754  0.38063999],0.008469416975071,0.382100033707732
4725571,2014-07-21T14:54:41,6.9,-19.68,-178.32,627.1,1439449,2002-10-17T04:23:54,6.1,2.48313310529557E+019,0.800000000000001,-19.8,-178.23,621.9,3,[9.5132324  1.23785295 0.43450698],0.011821294598893,0.441841990386502
4600908,2014-05-04T09:15:52,6.6,-24.67,179.12,529.6,4807662,2014-09-10T16:32:00,5.6,8.81048873008015E+018,1,-24.76,179.26,540.6,8,[18.17555666  0.12532791  0.08239792],0.002288665338512,0.0824428791605
4489673,2014-03-26T03:29:36,6.4,-26.14,179.32,510,4489677,2014-03-26T04:23:12,5.8,4.41570447353312E+018,0.600000000000001,-26.13,179.59,493.2,5,[8.97529173 0.04180474 0.0523131 ],0.120203936317278,0.06820184098135
4218030,2013-05-14T00:32:26,6.8,18.67,145.35,604.7,5166177,2015-11-24T13:21:35,6,1.7579236139587E+019,0.8,18.82,145.26,582.5,63,[16.51086901  0.40048479  0.16886348],0.003416972525635,0.168743762120758
