masterID,masterTime,mastermag,masterlat,masterlon,masterdep,egfID,egfTime,egfmag,M0,magdif,egflat,egflon,egfdep,rgs,rgs_fit,rgs_fc_std,rgs_fc_mean
10972756,2018-11-18T20:25:45,6.8,-17.85,-178.78,561.2,10641454,2018-02-09T11:43:56,6,1.7579236139587E+019,0.8,-17.8,-178.54,571.3,19,[26.98551196  0.16581846  0.07135297],0.003388729772331,0.07249583772942
10972756,2018-11-18T20:25:45,6.8,-17.85,-178.78,561.2,4810015,2014-09-30T22:34:28,5.5,1.7579236139587E+019,1.3,-17.85,-178.59,587,4,[31.76520006  1.55263044  0.39012557],0.022559778258913,0.402707550737558
10972756,2018-11-18T20:25:45,6.8,-17.85,-178.78,561.2,1660728,2003-10-15T02:19:41,5.9,1.7579236139587E+019,0.9,-17.84,-178.59,594.9,3,[2.83888130e+02 1.92590410e-01 8.02458167e-02],0.006112303450855,0.081667879762291
10394345,2017-08-19T02:00:52,6.5,-17.8,-178.77,559.8,10641454,2018-02-09T11:43:56,6,6.23734835482422E+018,0.5,-17.8,-178.54,571.3,17,[13.67706003  0.09582795  0.0475607 ],0.003148963847351,0.048415973159953
9376197,2016-09-24T21:28:41,6.9,-19.77,-178.15,606.8,8887463,2012-10-25T18:40:38,5.5,2.48313310529557E+019,1.4,-19.78,-178.13,606,4,[1.09161315e+03 4.00000000e+00 1.92693451e-01],0.005600021971571,0.201777351865935
5183873,2016-05-27T04:08:43,6.4,-20.77,-178.61,581.4,10683512,2018-03-09T16:23:23,5.7,4.41570447353312E+018,0.7,-20.89,-178.7,568,4,[12.18862934  0.55900816  0.25645684],0.013874057722413,0.248625162462984
5183873,2016-05-27T04:08:43,6.4,-20.77,-178.61,581.4,4370315,2013-12-17T17:02:01,5.7,4.41570447353312E+018,0.7,-20.64,-178.75,614.2,9,[10.37796544  1.3482337   0.67224145],0.030981163336223,0.690062600361737
5183873,2016-05-27T04:08:43,6.4,-20.77,-178.61,581.4,2861950,2008-12-09T18:51:15,5.7,4.41570447353312E+018,0.7,-20.89,-178.62,607.4,3,[3.15402273e+03 4.00000000e+00 1.54945524e-01],0.005417946565082,0.151024474569964
5149896,2015-06-23T12:18:30,6.5,27.68,139.85,458.5,10401792,2017-09-07T17:26:49,6,6.23734835482422E+018,0.5,27.79,139.75,459.8,155,[8.77401493 0.10584797 0.05727519],0.002503797364742,0.054431166904023
5075811,2015-03-22T05:46:22,6.1,-17.84,-178.48,615.8,10955349,2018-10-04T04:16:21,5.6,1.56675107010815E+018,0.5,-17.89,-178.52,597.5,3,[660.63259093   4.           1.01843831],0.016291373030835,1.01016073300655
5007016,2015-02-27T13:45:05,7,-7.35,122.5,551.5,5191265,2016-08-23T19:39:44,6.1,3.50751873952569E+019,0.9,-7.29,122.48,534.5,97,[24.9173012   0.33107266  0.11228017],0.006606787169222,0.121146739960658
4725571,2014-07-21T14:54:41,6.9,-19.68,-178.32,627.1,8887463,2012-10-25T18:40:38,5.5,2.48313310529557E+019,1.4,-19.78,-178.13,606,3,[42.20106754  1.49572056  0.35988971],0.009618864238781,0.363121597478005
4725571,2014-07-21T14:54:41,6.9,-19.68,-178.32,627.1,1439449,2002-10-17T04:23:54,6.1,2.48313310529557E+019,0.800000000000001,-19.8,-178.23,621.9,3,[10.79881036  1.20434983  0.36770523],0.017443804073683,0.378675195608805
4600908,2014-05-04T09:15:52,6.6,-24.67,179.12,529.6,4807662,2014-09-10T16:32:00,5.6,8.81048873008015E+018,1,-24.76,179.26,540.6,8,[19.52772618  0.13807138  0.0850138 ],0.005014315962454,0.085086906549443
4489673,2014-03-26T03:29:36,6.4,-26.14,179.32,510,4489677,2014-03-26T04:23:12,5.8,4.41570447353312E+018,0.600000000000001,-26.13,179.59,493.2,5,[17.31389035  3.9473095   0.84017605],0.023019176180576,0.844029509748933
4225091,2013-09-04T00:18:24,6.5,30.02,138.79,412,5191146,2016-08-22T09:33:08,5.6,6.23734835482422E+018,0.9,29.95,138.89,408.8,37,[5.29170765e+02 4.00000000e+00 3.54469668e-01],0.009814057696599,0.364366711432501
4218030,2013-05-14T00:32:26,6.8,18.67,145.35,604.7,5166177,2015-11-24T13:21:35,6,1.7579236139587E+019,0.8,18.82,145.26,582.5,63,[18.72366362  0.4247397   0.15892675],0.001809624396786,0.158779207808541
4215721,2013-04-21T03:22:16,6.1,30.02,138.88,429.8,5191146,2016-08-22T09:33:08,5.6,1.56675107010815E+018,0.5,29.95,138.89,408.8,36,[128.74898645   3.16146799   0.32289032],0.010517588045802,0.335413662574603
4214963,2013-04-05T13:00:02,6.3,42.77,131.02,571.9,9084935,2013-04-06T00:29:55,5.8,3.12607936712396E+018,0.5,42.82,131.05,575.2,51,[6.86598127 4.         1.77115407],0.012518913414135,1.77189767005514
4212015,2013-02-22T12:01:58,6.1,-27.89,-63,585.7,8710959,2012-05-28T11:50:55,5.5,1.56675107010815E+018,0.6,-28.1,-63.06,595.2,12,[15.90343815  1.22580245  0.79998696],0.045291628525315,0.813066565484009
3340371,2012-05-28T05:07:23,6.7,-28.25,-63.07,591.6,8710959,2012-05-28T11:50:55,5.5,1.24451461177138E+019,1.2,-28.1,-63.06,595.2,35,[60.56408233  0.25380138  0.10986643],0.003582717842335,0.107926418998579
3340371,2012-05-28T05:07:23,6.7,-28.25,-63.07,591.6,946834,2000-04-23T17:01:17,6.1,1.24451461177138E+019,0.600000000000001,-28.43,-62.96,610.4,4,[34.05485915  0.22766447  0.07613733],0.004035170146805,0.077195022802911
3322252,2011-09-15T19:31:03,7.3,-21.61,-179.21,624.9,9025015,2013-02-26T19:57:54,5.8,9.88553094656941E+019,1.5,-21.48,-179.31,626.1,72,[23.08613556  1.19900043  0.21890108],0.010251404288906,0.234753659712091
3321489,2011-09-02T13:47:10,6.7,-28.56,-63.08,597.3,946834,2000-04-23T17:01:17,6.1,1.24451461177138E+019,0.600000000000001,-28.43,-62.96,610.4,5,[31.43986069  0.19090385  0.07773264],0.006346550191248,0.081861055761538
3318957,2011-07-29T07:42:22,6.7,-23.78,179.92,539,10764702,2018-04-24T21:57:00,5.6,1.24451461177138E+019,1.1,-24.01,179.81,542.3,3,[16.46355478  2.95425915  0.3218253 ],0.0081173163592,0.335318181943214
3318957,2011-07-29T07:42:22,6.7,-23.78,179.92,539,2879536,2010-09-05T23:48:26,5.6,1.24451461177138E+019,1.1,-23.86,-179.83,559.3,10,[22.48990136  0.25539134  0.11461918],0.003858275265281,0.113105505405904
