masterID,masterTime,mastermag,masterlat,masterlon,masterdep,egfID,egfTime,egfmag,M0,magdif,egflat,egflon,egfdep,rp,rp_M0r,rp_fcegf,rp_fcmaster,rp_fc_std
10972756,2018-11-18T20:25:45,6.8,-17.8735,-178.9273,540.0,5109197,2015-04-02T04:10:10,5.9,1.72e+19,0.9,-17.8607,-178.5831,560.0,4,5.12065981971399,0.26302131567160203,0.11686189102250301,0.0034129473447369997
10972756,2018-11-18T20:25:45,6.8,-17.8735,-178.9273,540.0,2210432,2006-06-09T05:58:28,6.1,1.72e+19,0.7,-17.531,-178.747,564.4,4,13.551940192634802,2.4530998055159703,1.02957197660812,0.068472031927723
10394345,2017-08-19T02:00:52,6.4,-17.9609,-178.8406,544.0,3334228,2012-02-10T01:47:33,5.9,6.7e+18,0.5,-17.968,-178.549,582.3,4,1.84386234070677,2.3262808836109303,1.03006701027574,0.08662879051387301
9953968,2017-01-10T06:13:47,7.3,4.4782,122.6171,627.17,1542753,2003-07-01T05:52:24,6.0,1e+20,1.3,4.529,122.51100000000001,635.4,13,17.3969423106395,0.6665194113358079,0.404147443312609,0.011978481961355
9376197,2016-09-24T21:28:41,6.9,-19.7819,-178.2443,596.4,2619813,2007-08-23T11:34:25,5.7,2.99e+19,1.2,-19.925,-177.718,553.8,4,44.9558326941267,0.296792120940814,0.07176167504292098,0.0026327725838400005
5183873,2016-05-27T04:08:43,6.4,-20.8101,-178.6481,567.48,8350539,2014-03-23T04:31:01,5.9,5.87e+18,0.5,-20.6741,-178.8113,606.87,6,21.005757140247102,0.091196064641178,0.025007677339034,0.00012138208489700002
4225091,2013-09-04T00:18:24,6.5,29.9377,138.8325,402.0,2031557,2005-04-19T01:46:56,5.9,7.3e+18,0.6,29.642,138.891,425.8,16,15.4957130763591,0.389531500538221,0.2433454618457,0.012945662860504999
3340371,2012-05-28T05:07:23,6.7,-28.043000000000003,-63.093999999999994,586.9,4212015,2013-02-22T12:01:58,6.1,1.32e+19,0.600000000000001,-27.932,-63.097,575.2,27,2.71336618896868,0.15663491361837803,0.09606392583219199,0.007178618811645001
3321489,2011-09-02T13:47:10,6.7,-28.398000000000003,-63.028999999999996,578.9,4212015,2013-02-22T12:01:58,6.1,1.37e+19,0.600000000000001,-27.932,-63.097,575.2,34,16.523714803387403,0.23131215578507502,0.06506209989985699,0.002275630305774
3321489,2011-09-02T13:47:10,6.7,-28.398000000000003,-63.028999999999996,578.9,3335575,2012-03-05T07:46:09,6.1,1.37e+19,0.600000000000001,-28.246,-63.294,553.9,65,35.2013470750077,0.684030215556573,0.17024842949758098,0.005329514332023
3275804,2011-01-12T21:32:54,6.4,26.973000000000003,139.882,512.0,3323209,2011-10-04T01:37:28,5.6,7.39e+18,0.800000000000001,26.768,140.429,455.9,5,3.8563192295345496,1.83743153742082,0.668911034932281,0.02409633283458
2876682,2010-07-23T22:51:13,7.6,6.497000000000001,123.48,578.0,2876716,2010-07-24T05:35:01,6.6,3.64e+20,1.0,6.218,123.51899999999999,553.0,62,32.8811792503284,0.357206260791673,0.07326722263152902,0.002413214636935
2876682,2010-07-23T22:51:13,7.6,6.497000000000001,123.48,578.0,2839155,2009-10-04T10:58:00,6.6,3.64e+20,1.0,6.74,123.37799999999999,620.0,52,126.656423193312,0.286058522530018,0.035304655590961,0.001537168005445
2844629,2010-02-18T01:13:18,6.9,42.586999999999996,130.703,577.7,4214963,2013-04-05T13:00:02,6.3,2.61e+19,0.600000000000001,42.736000000000004,131.003,563.3,29,3.25689348264669,0.43030498751462,0.261116839434378,0.009610590662094999
2724685,2008-07-03T03:02:35,6.2,-23.37,-179.778,581.2,10907822,2018-07-12T06:51:21,5.5,2.81e+18,0.7,-23.337,-179.9115,541.3,4,2.74263321917988,0.406363306710854,0.241027128233671,0.013654665060428001
2313099,2006-09-09T04:13:12,6.3,-7.218999999999999,120.10600000000001,572.0,9981639,2014-01-23T00:52:15,5.5,3.36e+18,0.8,-7.1045,120.3147,579.0,26,8.88036925321956,3.6530657622679703,1.74393816154526,0.074499601537512
