masterID,masterTime,mastermag,masterlat,masterlon,masterdep,egfID,egfTime,egfmag,M0,magdif,egflat,egflon,egfdep,rgp,rgp_M0r,rgp_fcegf,rgp_fcmaster,rgp_fc_std,number
10972756,2018-11-18T20:25:45,6.8,-17.8735,-178.9273,540.0,10641454,2018-02-09T11:43:56,6.0,1.72e+19,0.7999999999999998,-17.8709,-178.6605,556.91,9,5.19795529533554,0.26783123550707794,0.12659516640359092,0.02104830427049215,40
10972756,2018-11-18T20:25:45,6.8,-17.8735,-178.9273,540.0,3334228,2012-02-10T01:47:33,5.9,1.72e+19,0.8999999999999995,-17.968,-178.549,582.3,23,4.663659689019911,0.19838883596426185,0.07889434424957388,0.01637705522390476,40
10972756,2018-11-18T20:25:45,6.8,-17.8735,-178.9273,540.0,3324521,2011-10-27T00:15:24,6.0,1.72e+19,0.7999999999999998,-17.941,-179.53099999999995,602.9,25,6.5703036827710175,0.21145421298458952,0.0711970543600788,0.02060420851766559,40
10972756,2018-11-18T20:25:45,6.8,-17.8735,-178.9273,540.0,2862473,2008-12-17T10:55:59,5.8,1.72e+19,1.0,-17.744,-178.37099999999995,530.3,5,12.427319434641307,0.2931099536230241,0.1278803427639406,0.019335451640751948,40
10972756,2018-11-18T20:25:45,6.8,-17.8735,-178.9273,540.0,2210432,2006-06-09T05:58:28,6.1,1.72e+19,0.7000000000000002,-17.531,-178.747,564.4,10,14.525512782118966,0.2364116286938175,0.11927650491629292,0.017777042351534336,40
10972756,2018-11-18T20:25:45,6.8,-17.8735,-178.9273,540.0,1327033,2002-06-16T06:55:13,5.9,1.72e+19,0.8999999999999995,-17.866,-178.696,569.0,5,25.892319249171468,0.4007338907015232,0.1825551299081388,0.016170217633746688,40
10953779,2018-09-30T10:52:24,6.7,-18.3604,-178.0633,550.0,5109197,2015-04-02T04:10:10,5.9,1.27e+19,0.7999999999999998,-17.8607,-178.5831,560.0,24,3.4988948000905427,0.2432670705740907,0.15961408740969835,0.0242068859106805,41
10944928,2018-09-06T15:49:14,7.9,-18.4743,179.3502,670.81,1833055,2004-07-15T04:27:13,7.1,8.52e+20,0.8000000000000007,-17.656,-178.76,565.5,102,4.57970387818591,0.8741746616192471,0.5656266600910101,0.021475173196714846,42
10447967,2017-10-24T10:47:47,6.7,-7.2168,123.0735,553.81,5191265,2016-08-23T19:39:44,6.0,1.52e+19,0.7000000000000002,-7.2872,122.4345,533.0,116,4.684372134589385,0.20877044493435812,0.12027034213170767,0.010584901174008609,30
9953968,2017-01-10T06:13:47,7.3,4.4782,122.6171,627.17,1542753,2003-07-01T05:52:24,6.0,1e+20,1.2999999999999998,4.529,122.511,635.4,24,22.399682090371574,0.7041069548585485,0.3355067260927345,0.013564949591985693,31
9376197,2016-09-24T21:28:41,6.9,-19.7819,-178.2443,596.4,5149842,2015-06-21T21:28:16,6.0,2.99e+19,0.9000000000000004,-20.4307,-178.3276,562.61,42,36.573406377893036,0.43551687510533466,0.09850583846293502,0.01354140160973103,43
9376197,2016-09-24T21:28:41,6.9,-19.7819,-178.2443,596.4,1449061,2002-10-22T11:39:04,6.2,2.99e+19,0.7000000000000002,-20.633000000000006,-178.391,549.0,7,54.036508869630325,0.7185854726234614,0.13981691059341467,0.012245433733546585,43
9376197,2016-09-24T21:28:41,6.9,-19.7819,-178.2443,596.4,1439449,2002-10-17T04:23:54,6.2,2.99e+19,0.7000000000000002,-19.842,-178.40099999999995,627.6,7,62.42604080875618,0.2895508583699616,0.07223555080278253,0.015507166231812248,43
5166216,2015-11-24T22:45:38,7.6,-10.5372,-70.9437,606.21,10939656,2018-08-24T09:04:06,7.1,2.62e+20,0.5,-11.0355,-70.8284,630.0,469,8.346663570421754,0.3403053238866654,0.165911012345575,0.01160921591353989,53
5166216,2015-11-24T22:45:38,7.6,-10.5372,-70.9437,606.21,1432102,2002-10-12T20:09:09,6.9,2.62e+20,0.6999999999999993,-8.295,-71.738,534.3,63,13.975973589489069,0.22342318049513984,0.1415667669558017,0.01921164035614233,53
5007016,2015-02-27T13:45:05,7.0,-7.2968,122.5348,552.06,10936816,2018-08-17T15:35:01,6.5,3.6e+19,0.5,-7.3718,119.8017,529.0,55,3.3566375841768443,0.2634473077022256,0.14799620864719215,0.016317243893375126,32
5007016,2015-02-27T13:45:05,7.0,-7.2968,122.5348,552.06,5199736,2016-12-05T01:13:04,6.3,3.6e+19,0.7000000000000002,-7.3158,123.3802,526.0,131,4.482800006587249,0.4059822065852423,0.19884663981915807,0.008572612081667597,32
5007016,2015-02-27T13:45:05,7.0,-7.2968,122.5348,552.06,2313099,2006-09-09T04:13:12,6.3,3.6e+19,0.7000000000000002,-7.2189999999999985,120.106,572.0,68,12.006870287606144,0.6605305623821127,0.2720970519645109,0.010499428118689185,32
5007016,2015-02-27T13:45:05,7.0,-7.2968,122.5348,552.06,984711,2000-08-07T14:33:56,6.5,3.6e+19,0.5,-7.018,123.357,648.5,38,15.829396715394974,0.7868327662449879,0.41298537508937305,0.013220790192719085,32
4813335,2014-11-01T18:57:22,7.1,-19.6903,-177.7587,434.0,10394345,2017-08-19T02:00:52,6.4,5.74e+19,0.6999999999999993,-17.9609,-178.8406,544.0,49,5.351714750198574,0.6310423788906463,0.3185216820475024,0.01845606342002229,44
4813335,2014-11-01T18:57:22,7.1,-19.6903,-177.7587,434.0,2425674,2007-05-06T21:11:53,6.5,5.74e+19,0.5999999999999996,-19.401,-179.354,676.4,83,5.735508701314912,0.7664059490506723,0.5185036386005828,0.019670265104564103,44
