masterID,masterTime,mastermag,masterlat,masterlon,masterdep,egfID,egfTime,egfmag,M0,magdif,egflat,egflon,egfdep,rgs,rgs_M0r,rgs_fcegf,rgs_fcmaster,rgs_fc_std,number
10944928,2018-09-06T15:49:14,7.9,-18.4743,179.3502,670.81,10394345,2017-08-19T02:00:52,6.4,8.52e+20,1.5,-17.9609,-178.8406,544.0,53,52.23969627528954,0.16593589690959368,0.09141492082678072,0.011790706992753138,18
10944928,2018-09-06T15:49:14,7.9,-18.4743,179.3502,670.81,2841270,2009-11-22T07:48:21,6.4,8.52e+20,1.5,-17.794,-178.425,522.6,10,55.64880805840438,0.14748849239694525,0.08331284428732233,0.023463141619428963,18
10944928,2018-09-06T15:49:14,7.9,-18.4743,179.3502,670.81,2840820,2009-11-09T10:44:54,7.3,8.52e+20,0.6000000000000005,-17.239,178.331,595.0,106,13.345075067423833,0.4375002692171288,0.2837002055968467,0.017517535494740156,18
10937540,2018-08-19T00:19:40,8.2,-18.1125,-178.153,600.0,10394345,2017-08-19T02:00:52,6.4,2.52e+21,1.7999999999999992,-17.9609,-178.8406,544.0,64,306.3565746449857,0.32738252520607497,0.07909951523518241,0.005909651309463507,19
10937540,2018-08-19T00:19:40,8.2,-18.1125,-178.153,600.0,5183964,2016-05-28T05:38:50,6.9,2.52e+21,1.299999999999999,-21.9724,-178.2038,405.69,142,86.91556839180728,0.1667514695426808,0.06686651018595623,0.017763490431992466,19
10937540,2018-08-19T00:19:40,8.2,-18.1125,-178.153,600.0,4813335,2014-11-01T18:57:22,7.1,2.52e+21,1.0999999999999996,-19.6903,-177.7587,434.0,86,55.23640334087365,0.15256534314452766,0.06896388709041625,0.014495592278690987,19
10937540,2018-08-19T00:19:40,8.2,-18.1125,-178.153,600.0,4725571,2014-07-21T14:54:41,6.9,2.52e+21,1.299999999999999,-19.8015,-178.4001,615.42,142,114.44061067184822,0.23342408973267506,0.07286821107322332,0.011106210858259651,19
10937540,2018-08-19T00:19:40,8.2,-18.1125,-178.153,600.0,2878496,2010-08-16T19:35:48,6.2,2.52e+21,1.9999999999999991,-20.799,-178.826,603.2,10,741.2484639078954,0.28854336665162555,0.05611283533624279,0.01388461589665832,19
10937540,2018-08-19T00:19:40,8.2,-18.1125,-178.153,600.0,2840820,2009-11-09T10:44:54,7.3,2.52e+21,0.8999999999999995,-17.239,178.331,595.0,107,52.19376850537918,0.4029952845270489,0.14520605597645933,0.008093512181073837,19
10937540,2018-08-19T00:19:40,8.2,-18.1125,-178.153,600.0,2425674,2007-05-06T21:11:53,6.5,2.52e+21,1.6999999999999993,-19.401,-179.354,676.4,14,293.0304449063791,0.2531393579227311,0.0742909825302137,0.01738543903819396,19
10937540,2018-08-19T00:19:40,8.2,-18.1125,-178.153,600.0,1369933,2002-06-30T21:29:36,6.5,2.52e+21,1.6999999999999993,-22.201,179.25,620.4,6,1194.381700080424,0.23585966452345355,0.06652243806727262,0.014154704942196512,19
10937540,2018-08-19T00:19:40,8.2,-18.1125,-178.153,600.0,1039338,2000-12-18T01:19:21,6.6,2.52e+21,1.5999999999999996,-21.178,-179.12400000000005,628.2,4,553.0615883557851,0.33759974273879634,0.07177588190263243,0.010547872930814994,19
10447967,2017-10-24T10:47:47,6.7,-7.2168,123.0735,553.81,5191265,2016-08-23T19:39:44,6.0,1.52e+19,0.7000000000000002,-7.2872,122.4345,533.0,20,7.452849099335554,0.4722638167112809,0.2173920274881128,0.011470610372744985,1
9953968,2017-01-10T06:13:47,7.3,4.4782,122.6171,627.17,1542753,2003-07-01T05:52:24,6.0,1e+20,1.2999999999999998,4.529,122.511,635.4,5,69.22695474704429,0.6651720028305202,0.2210354290705969,0.014029799162528708,2
5166221,2015-11-24T22:50:54,7.6,-10.0598,-71.0184,620.56,2850834,2010-05-24T16:18:28,6.5,3.7e+20,1.0999999999999996,-8.087,-71.558,581.2,10,111.01403306242157,0.4246686005918772,0.12803997689982324,0.01885085070190402,26
5148725,2015-05-30T11:23:02,7.8,27.8386,140.4931,664.0,5198598,2016-11-23T09:59:56,5.8,7.65e+20,2.0,27.1773,140.025,481.0,4,211.58067162807282,0.22254137966795268,0.08006500055745246,0.02020978238400172,3
5148725,2015-05-30T11:23:02,7.8,27.8386,140.4931,664.0,3340348,2012-05-26T21:48:09,6.0,7.65e+20,1.7999999999999998,26.91,140.055,487.4,21,340.88629576792715,0.13127606580135634,0.05063620455088162,0.021898342606574545,3
5148725,2015-05-30T11:23:02,7.8,27.8386,140.4931,664.0,3275804,2011-01-12T21:32:54,6.4,7.65e+20,1.3999999999999997,26.973000000000006,139.882,512.0,29,41.262762250746285,0.17565720224437326,0.08851269366416974,0.02139624518258605,3
5007016,2015-02-27T13:45:05,7.0,-7.2968,122.5348,552.06,5191265,2016-08-23T19:39:44,6.0,3.6e+19,1.0,-7.2872,122.4345,533.0,22,20.019533108420944,0.3708177787841109,0.15463655592503922,0.014794373070063932,4
4813335,2014-11-01T18:57:22,7.1,-19.6903,-177.7587,434.0,10394345,2017-08-19T02:00:52,6.4,5.74e+19,0.6999999999999993,-17.9609,-178.8406,544.0,10,15.565508405065827,0.3651976882636136,0.12500637817428287,0.01243858550190732,20
4813335,2014-11-01T18:57:22,7.1,-19.6903,-177.7587,434.0,5149842,2015-06-21T21:28:16,6.0,5.74e+19,1.0999999999999996,-20.4307,-178.3276,562.61,5,22.366054300448933,0.5123148986580152,0.16172165160564775,0.014811770256607596,20
4813335,2014-11-01T18:57:22,7.1,-19.6903,-177.7587,434.0,5112137,2015-04-28T16:39:39,6.1,5.74e+19,1.0,-20.8865,-178.6329,581.0,14,30.244513050840897,0.3384450302037448,0.0942300063948512,0.01078979466914139,20
4813335,2014-11-01T18:57:22,7.1,-19.6903,-177.7587,434.0,3282255,2011-04-03T14:07:08,6.4,5.74e+19,0.6999999999999993,-17.642,-178.585,551.7,6,7.308160329686654,0.21833573897201075,0.11048559016495536,0.018832879058712917,20
4813335,2014-11-01T18:57:22,7.1,-19.6903,-177.7587,434.0,2878496,2010-08-16T19:35:48,6.2,5.74e+19,0.8999999999999995,-20.799,-178.826,603.2,8,25.32172474883891,0.3224580899635686,0.1064376728995384,0.011973549135481,20
4813335,2014-11-01T18:57:22,7.1,-19.6903,-177.7587,434.0,2841270,2009-11-22T07:48:21,6.4,5.74e+19,0.6999999999999993,-17.794,-178.425,522.6,11,12.69061657269416,0.24130862980071102,0.1148067209312053,0.014436051494115263,20
4813335,2014-11-01T18:57:22,7.1,-19.6903,-177.7587,434.0,2728435,2008-04-18T20:39:07,6.3,5.74e+19,0.7999999999999998,-17.342,-179.02200000000005,553.8,4,9.141654392319014,0.2658667637073986,0.11795934905427015,0.01995776627164903,20
4813335,2014-11-01T18:57:22,7.1,-19.6903,-177.7587,434.0,2425674,2007-05-06T21:11:53,6.5,5.74e+19,0.5999999999999996,-19.401,-179.354,676.4,14,9.256624337348583,0.2899870391213327,0.16998257608066086,0.02068572189155567,20
4813335,2014-11-01T18:57:22,7.1,-19.6903,-177.7587,434.0,1404671,2002-10-04T19:05:49,6.3,5.74e+19,0.7999999999999998,-20.991,-179.016,621.1,5,65.65644116451992,0.2886959065004013,0.07586336664612145,0.012206933891222571,20
4813335,2014-11-01T18:57:22,7.1,-19.6903,-177.7587,434.0,1039338,2000-12-18T01:19:21,6.6,5.74e+19,0.5,-21.178,-179.12400000000005,628.2,4,25.224459056951893,0.343750981141049,0.10629162470762027,0.01057508289732316,20
4218658,2013-05-24T05:44:49,8.3,54.892,153.221,598.1,4310156,2013-10-01T03:38:21,6.7,3.95e+21,1.6000000000000003,53.1995,152.7864,573.0,135,186.51607257058018,0.20347482319712212,0.07667805611180163,0.0105370567967835,5
4218658,2013-05-24T05:44:49,8.3,54.892,153.221,598.1,4218719,2013-05-24T14:56:31,6.7,3.95e+21,1.6000000000000003,52.235,151.444,624.0,164,89.13889664851473,0.3346092647479996,0.1483719971663678,0.010610556591419828,5
4218658,2013-05-24T05:44:49,8.3,54.892,153.221,598.1,2841914,2009-12-10T02:30:52,6.3,3.95e+21,2.000000000000001,53.417,152.756,656.2,14,451.9156452025049,0.2831968062949467,0.11895890313141193,0.013973291606459229,5
3377518,2012-08-14T02:59:38,7.7,49.8,145.064,583.2,10966888,2018-11-02T11:01:15,6.0,4.8399999999999993e+20,1.7000000000000002,47.8334,146.6972,433.0,19,94.37835927620785,0.3870859516238744,0.1392720842016711,0.012593257021040593,6
3377518,2012-08-14T02:59:38,7.7,49.8,145.064,583.2,1788937,2004-11-07T02:02:24,6.2,4.8399999999999993e+20,1.5,47.948,144.477,474.0,9,67.40389439213696,0.28199808185027264,0.11054979642240156,0.018688640183118374,6
3340371,2012-05-28T05:07:23,6.7,-28.043000000000006,-63.094,586.9,3335575,2012-03-05T07:46:09,6.1,1.32e+19,0.6000000000000005,-28.246,-63.294,553.9,26,3.051075143643013,0.2267235805766196,0.14171517787063231,0.01593195241692242,27
3322252,2011-09-15T19:31:03,7.3,-21.611,-179.528,644.8,9951393,2017-01-02T13:14:02,6.3,1.19e+20,1.0,-23.2513,179.2383,551.62,12,18.0640906002014,0.14292746948485455,0.07777035109529584,0.01597465352756906,21
3322252,2011-09-15T19:31:03,7.3,-21.611,-179.528,644.8,5112137,2015-04-28T16:39:39,6.1,1.19e+20,1.2000000000000002,-20.8865,-178.6329,581.0,11,50.6945190701167,0.21396583404477704,0.07453089788621002,0.013618168114995477,21
3322252,2011-09-15T19:31:03,7.3,-21.611,-179.528,644.8,2878496,2010-08-16T19:35:48,6.2,1.19e+20,1.0999999999999996,-20.799,-178.826,603.2,14,40.84367160722122,0.16977002706390346,0.0711036344346152,0.01568350167736891,21
3322252,2011-09-15T19:31:03,7.3,-21.611,-179.528,644.8,2874669,2010-06-30T04:31:01,6.4,1.19e+20,0.8999999999999995,-23.307,179.116,581.4,13,19.785761514441567,0.4545709340261653,0.21912820989980386,0.019916679984079543,21
3322252,2011-09-15T19:31:03,7.3,-21.611,-179.528,644.8,2589246,2007-11-19T00:52:12,6.3,1.19e+20,1.0,-21.185,-178.752,558.3,4,41.08988426540585,0.2769108181672195,0.1179543473962699,0.0165431812576761,21
3322252,2011-09-15T19:31:03,7.3,-21.611,-179.528,644.8,1404671,2002-10-04T19:05:49,6.3,1.19e+20,1.0,-20.991,-179.016,621.1,6,92.22682681443634,0.1404613410243777,0.052760235076158936,0.02293018797867124,21
