Data Set S1
event_ID                  yr   mon  day    hr    min   sec        m0      Mw  mb     lat     lon     depth   fc       stress_drop   rms         nstat
Event_1990_128_00_01_39  1990   5     8     0     1   39.60   5.7500e+25  6.4 6.3    6.891  -82.589  10.0   0.2990    3.4970e+01    9.6340e-02    8
Event_1990_135_18_31_40  1990   5    15    18    31   40.00   1.1020e+25  6.0 5.6    1.166  123.877  34.3   0.1055    2.9440e-01    8.4360e-02    3
Event_1990_137_23_28_00  1990   5    17    23    28    0.90   6.2800e+24  5.8 6.1   26.664  127.829  33.0   0.4815    1.5950e+01    9.8180e-02    7
Event_1990_149_18_31_13  1990   5    29    18    31   13.60   1.5700e+25  6.1 5.8   57.017 -153.497  25.0   0.2020    2.9440e+00    1.7270e-01    8
Event_1990_150_02_34_07  1990   5    30     2    34    7.00   7.6500e+25  6.5 6.0   -6.022  -77.197  24.0   0.1070    2.1320e+00    1.1870e-01    8
Event_1990_168_04_51_46  1990   6    17     4    51   46.10   1.8000e+25  6.1 5.8   27.390   65.665  15.0   0.3850    2.3370e+01    8.2050e-02    6
Event_1990_190_15_11_19  1990   7     9    15    11   19.50   3.3100e+25  6.3 6.0    5.429   31.674  13.0   0.0945    6.3560e-01    1.5010e-01    6
Event_1990_193_23_08_22  1990   7    12    23     8   22.40   6.2000e+24  5.8 5.5   14.628  -60.470  21.7   0.5725    2.6470e+01    9.1220e-02    3
Event_1990_195_05_54_25  1990   7    14     5    54   25.30   8.5700e+25  6.6 6.3    0.009  -17.371  11.0   0.1455    6.0070e+00    1.2170e-01   10
Event_1990_198_18_06_34  1990   7    17    18     6   34.50   1.4500e+25  6.0 5.5   16.448  120.825  17.5   0.4540    3.0870e+01    1.2960e-01    3
Event_1990_198_21_14_40  1990   7    17    21    14   40.50   6.2400e+25  6.5 6.0   16.453  121.000  23.0   0.1850    8.9900e+00    8.1840e-02    8
Event_1990_222_15_44_29  1990   8    10    15    44   29.30   2.5000e+25  6.2 5.9    0.341  126.151  36.3   0.2395    7.8150e+00    1.0140e-01    4
Event_1990_226_15_13_29  1990   8    14    15    13   29.20   3.4600e+25  6.3 5.5   35.344  -35.824   8.4   0.3060    2.2560e+01    9.1450e-02    9
Event_1990_229_13_07_17  1990   8    17    13     7   17.60   1.3300e+26  6.7 5.9  -11.099  162.066  29.0   0.0975    2.8050e+00    1.0970e-01    3
Event_1990_233_14_13_04  1990   8    21    14    13    4.20   1.0910e+25  6.0 6.1  -27.557 -104.306  11.0   0.3325    9.1250e+00    1.1790e-01    3
Event_1990_237_15_47_58  1990   8    25    15    47   58.20   3.9600e+25  6.3 6.0    0.540  126.065  11.0   0.2630    1.6390e+01    8.4020e-02    5
Event_1990_273_19_05_02  1990   9    30    19     5    2.50   1.8200e+25  6.1 5.9   24.299  125.171  26.0   0.1680    1.9640e+00    1.4620e-01    4
Event_1990_288_01_35_44  1990  10    15     1    35   44.70   1.3500e+26  6.7 5.9   -2.208   92.193  32.0   0.1560    1.1660e+01    9.5170e-02    6
