masterID,masterTime,mastermag,masterlat,masterlon,masterdep,egfID,egfTime,egfmag,M0,magdif,egflat,egflon,egfdep,rgp,rgp_M0r,rgp_fcegf,rgp_fcmaster,rgp_fc_std
10972756,2018-11-18T20:25:45,6.8,-17.8735,-178.9273,540.0,10952079,2018-09-26T00:37:33,5.8,1.72e+19,1.0,-17.9807,-178.0855,582.37,35,6.1702786324873795,0.3142704970299737,0.10816298142864976,0.01780190824468091
10972756,2018-11-18T20:25:45,6.8,-17.8735,-178.9273,540.0,10641454,2018-02-09T11:43:56,6.0,1.72e+19,0.7999999999999998,-17.8709,-178.6605,556.91,47,12.334293924744642,0.4992258954455708,0.1872100995565969,0.02104407203016164
10953779,2018-09-30T10:52:24,6.7,-18.3604,-178.0633,550.0,10941184,2018-08-28T13:09:11,5.7,1.27e+19,1.0,-18.0299,-177.9387,600.62,46,5.76982629618194,0.50390163878074,0.26616882769331585,0.006023084390034386
10394345,2017-08-19T02:00:52,6.4,-17.9609,-178.8406,544.0,10974966,2018-11-27T02:45:32,5.7,6.7e+18,0.7000000000000002,-17.8924,-178.571,574.21,23,6.2400188015826865,0.3174530455324961,0.13768677564963172,0.014763190311211238
10087356,2017-04-18T17:11:47,6.0,-18.0877,-178.36900000000003,628.0,10937989,2018-08-20T08:38:00,5.5,1.77e+18,0.5,-18.1766,-178.1823,535.37,11,4.142960883312236,0.2419764141384189,0.1219302945521863,0.010326520459379712
9953968,2017-01-10T06:13:47,7.3,4.4782,122.6171,627.17,1542753,2003-07-01T05:52:24,6.0,1e+20,1.2999999999999998,4.529,122.511,635.4,43,24.367882029618762,0.5894848805316797,0.2889488298673799,0.007769233412323234
9376197,2016-09-24T21:28:41,6.9,-19.7819,-178.2443,596.4,1449061,2002-10-22T11:39:04,6.2,2.99e+19,0.7000000000000002,-20.633000000000006,-178.391,549.0,21,49.38313116096933,0.4546286611685476,0.1397878714020694,0.021692359498539558
5112137,2015-04-28T16:39:39,6.1,-20.8865,-178.6329,581.0,10641734,2018-02-09T23:59:24,5.6,1.67e+18,0.5,-21.3996,-179.2817,604.22,14,2.780507029274441,0.7411815609789548,0.35574942634999496,0.017685319403174648
5007016,2015-02-27T13:45:05,7.0,-7.2968,122.5348,552.06,5199736,2016-12-05T01:13:04,6.3,3.6e+19,0.7000000000000002,-7.3158,123.3802,526.0,110,4.272692240541994,0.4727481824738882,0.22790070889620376,0.005933316975596073
5007016,2015-02-27T13:45:05,7.0,-7.2968,122.5348,552.06,4309836,2013-09-21T01:39:15,6.1,3.6e+19,0.9000000000000004,-7.3308,120.0106,549.92,154,4.3621442989506,0.4549942206437613,0.247354283037968,0.01677650948598371
5007016,2015-02-27T13:45:05,7.0,-7.2968,122.5348,552.06,2313099,2006-09-09T04:13:12,6.3,3.6e+19,0.7000000000000002,-7.2189999999999985,120.106,572.0,87,11.239413923426557,0.6226140178683872,0.2943218777524681,0.008826038425225233
5003507,2015-01-28T02:43:19,6.2,-20.9665,-178.3032,484.12,8847907,2012-09-20T21:03:42,5.7,2.22e+18,0.5,-20.757,-178.513,570.4,29,3.702210713472708,1.6303447786386194,0.8314531020558864,0.011158858245114455
4813335,2014-11-01T18:57:22,7.1,-19.6903,-177.7587,434.0,10941184,2018-08-28T13:09:11,5.7,5.74e+19,1.3999999999999997,-18.0299,-177.9387,600.62,9,67.44898324806813,0.7888516003436181,0.12960372243675425,0.01247149869009838
4813335,2014-11-01T18:57:22,7.1,-19.6903,-177.7587,434.0,1404671,2002-10-04T19:05:49,6.3,5.74e+19,0.7999999999999998,-20.991,-179.016,621.1,57,9.305782693302683,0.5860118478997697,0.3465007670976466,0.01079774176540375
3322252,2011-09-15T19:31:03,7.3,-21.611,-179.528,644.8,2874669,2010-06-30T04:31:01,6.4,1.19e+20,0.8999999999999995,-23.307,179.116,581.4,177,5.274640655598108,0.1826090659713898,0.10155284353242243,0.032609592094413935
3282255,2011-04-03T14:07:08,6.4,-17.642,-178.585,551.7,10955349,2018-10-04T04:16:21,5.5,4.94e+18,0.9000000000000004,-17.8372,-178.5215,590.03,24,7.061940475491451,1.7458575433704626,0.7979758701902484,0.010322374374955515
3282255,2011-04-03T14:07:08,6.4,-17.642,-178.585,551.7,10952079,2018-09-26T00:37:33,5.8,4.94e+18,0.6000000000000005,-17.9807,-178.0855,582.37,20,10.825419980628805,1.4653193167536722,0.5557151757089078,0.015231480075176712
3282255,2011-04-03T14:07:08,6.4,-17.642,-178.585,551.7,10941184,2018-08-28T13:09:11,5.7,4.94e+18,0.7000000000000002,-18.0299,-177.9387,600.62,13,2.706266682993013,1.1193640755959924,0.6157824571784738,0.01261379399268459
3282255,2011-04-03T14:07:08,6.4,-17.642,-178.585,551.7,10003813,2017-02-24T23:46:45,5.9,4.94e+18,0.5,-17.9547,-178.4384,581.62,76,4.885695153606528,1.1135498816767242,0.663870388865261,0.01666482959166402
3282255,2011-04-03T14:07:08,6.4,-17.642,-178.585,551.7,3282428,2011-04-05T04:10:07,5.8,4.94e+18,0.6000000000000005,-17.662,-178.595,552.4,33,1.5585566129727175,1.020726561401392,0.6883526327592662,0.019077128282797357
3282255,2011-04-03T14:07:08,6.4,-17.642,-178.585,551.7,2372840,2006-07-23T20:50:52,5.8,4.94e+18,0.6000000000000005,-17.93,-178.608,587.0,66,5.903238892340834,0.2978562241155132,0.1803354251920832,0.012201507852404965
3282255,2011-04-03T14:07:08,6.4,-17.642,-178.585,551.7,1327033,2002-06-16T06:55:13,5.9,4.94e+18,0.5,-17.866,-178.696,569.0,33,6.663313875134944,0.6556176268480094,0.3640179377089135,0.012521198046524669
3278381,2011-02-21T10:57:51,6.5,-26.142,178.394,558.1,9918052,2013-12-04T14:55:41,5.7,7.88e+18,0.7999999999999998,-25.4464,178.253,574.0,40,8.964997824287929,2.0186352210595406,0.9230133573063064,0.010491570564640834
3275804,2011-01-12T21:32:54,6.4,26.973000000000006,139.882,512.0,3323209,2011-10-04T01:37:28,5.6,7.39e+18,0.8000000000000007,26.768,140.429,455.9,64,3.3063593297948315,0.4579001449967317,0.2752527121266085,0.02876912554931882
3275804,2011-01-12T21:32:54,6.4,26.973000000000006,139.882,512.0,1293514,2002-06-03T09:15:02,5.9,7.39e+18,0.5,27.564,139.78,488.7,51,7.93096186669311,0.6460599167568898,0.3171588217457453,0.01072426877850485
2876688,2010-07-23T23:15:09,7.5,6.776,123.259,640.6,5160144,2015-09-26T17:23:26,5.5,1.87e+20,2.0,5.2649,123.7966,516.0,59,1978.6740849304824,1.7412340920558926,0.05955967939636641,0.010964247836021634
2876688,2010-07-23T23:15:09,7.5,6.776,123.259,640.6,9395055,2013-11-03T11:03:40,5.9,1.87e+20,1.5999999999999996,4.6565,123.3471,532.0,114,1273.7873280050799,0.5816723264880694,0.06551434836301151,0.015382947962311438
2841270,2009-11-22T07:48:21,6.4,-17.794,-178.425,522.6,10941184,2018-08-28T13:09:11,5.7,3.82e+18,0.7000000000000002,-18.0299,-177.9387,600.62,14,2.570061576740506,1.075645590943822,0.6033238549873765,0.011486719489521208
2841270,2009-11-22T07:48:21,6.4,-17.794,-178.425,522.6,1828292,2004-06-13T19:28:11,5.7,3.82e+18,0.7000000000000002,-17.891,-178.57,580.1,24,3.3982795174942275,0.7904712939967279,0.4639500824055473,0.012042786977206746
2841270,2009-11-22T07:48:21,6.4,-17.794,-178.425,522.6,1327033,2002-06-16T06:55:13,5.9,3.82e+18,0.5,-17.866,-178.696,569.0,21,5.679872714993807,1.2581688611161608,0.6615843770669534,0.011406400917464305
2839291,2009-10-07T21:41:14,6.8,4.079,122.371,574.0,1542753,2003-07-01T05:52:24,6.0,1.79e+19,0.7999999999999998,4.529,122.511,635.4,38,27.623120344293408,0.592340711844923,0.20454285053969296,0.010840212071868327
2728435,2008-04-18T20:39:07,6.3,-17.342,-179.02200000000005,553.8,2368935,2006-12-22T13:51:55,5.5,3.71e+18,0.7999999999999998,-17.656,-178.576,570.1,31,3.0208991260736746,2.1950286931875653,1.370015265369072,0.011605048792920262
2647592,2008-02-01T12:10:08,6.0,-21.495,-179.352,604.2,2877771,2010-08-06T05:03:59,5.5,1.27e+18,0.5,-21.763,-179.451,595.3,4,2.483377795960237,1.8921779932243656,0.5832654665867119,0.015714945257388487
2704829,2008-01-15T17:52:16,6.5,-21.984,-179.535,597.6,1864207,2004-12-17T07:13:09,5.8,7.31e+18,0.7000000000000002,-21.901,-179.301,593.3,13,4.902283009702652,2.9314292027839484,1.2093534856123422,0.01158127278773863
2589246,2007-11-19T00:52:12,6.3,-21.185,-178.752,558.3,10453182,2017-11-08T07:35:11,5.7,3.27e+18,0.5999999999999996,-21.8761,-179.3832,593.71,35,10.758981998929443,1.1636464752618163,0.5769510021465668,0.010820108533667805
2429309,2007-01-08T20:52:21,6.3,-18.58,-177.847,406.8,10452239,2017-11-05T01:35:28,5.5,3.18e+18,0.7999999999999998,-18.6496,-177.7449,482.88,6,20.92816409087147,0.3934203128484279,0.18863254917012054,0.01719791148812783
2334570,2006-11-13T01:26:36,6.8,-26.052,-63.283,572.0,2854370,2008-09-03T11:25:14,6.3,2.26e+19,0.5,-26.736,-63.225,569.6,154,4.317559582702017,0.40636115975969744,0.24369735638800435,0.008972347232341941
2292909,2006-06-27T02:59:16,6.3,-19.865,-178.287,569.9,5197496,2016-11-10T17:35:38,5.6,3.04e+18,0.7000000000000002,-20.4275,-178.22299999999996,543.92,28,60.004609567533805,0.3554738264181592,0.12702347512990225,0.01720734257033764
2292909,2006-06-27T02:59:16,6.3,-19.865,-178.287,569.9,1907367,2004-12-24T13:39:42,5.8,3.04e+18,0.5,-20.358,-178.668,614.5,5,8.92964221484992,0.2761043681220757,0.11053887337269001,0.015192063703985785
2186707,2006-02-02T12:48:43,6.7,-17.747,-178.39,597.5,2372840,2006-07-23T20:50:52,5.8,1.4799999999999996e+19,0.9000000000000004,-17.93,-178.608,587.0,138,4.126170587943308,0.4996107331416288,0.2882274613562454,0.01127215134759482
2188466,2006-01-02T22:13:40,7.2,-19.926,-178.178,582.9,2425674,2007-05-06T21:11:53,6.5,6.94e+19,0.7000000000000002,-19.401,-179.354,676.4,188,7.349390976012546,0.4295995808867052,0.27920411841910264,0.009877488181613232
2009482,2005-03-19T17:34:45,6.3,-21.893,-179.547,598.7,2389963,2006-07-29T02:03:32,5.5,3.45e+18,0.7999999999999998,-22.25,-179.577,621.6,4,3.6050550177974285,1.4363796534818292,0.6381763607775889,0.018356876743364687
2009482,2005-03-19T17:34:45,6.3,-21.893,-179.547,598.7,1125195,2001-06-14T12:27:03,5.7,3.45e+18,0.5999999999999996,-22.053,-179.46099999999996,604.0,6,8.147908599578546,0.4761005037559475,0.14542323421993888,0.02599003940050533
1660728,2003-10-15T02:19:41,6.0,-17.822,-178.704,582.6,10955349,2018-10-04T04:16:21,5.5,9.92e+17,0.5,-17.8372,-178.5215,590.03,5,24.44405237208216,0.8322090505762244,0.13938746560240434,0.011322470398358705
1388787,2002-08-19T11:08:22,7.7,-23.884,178.495,675.4,4600909,2014-05-04T09:25:15,6.3,4.26e+20,1.4000000000000004,-25.8072,178.2401,634.21,15,22.394401771529388,99.99999999999916,1.262751891739918,0.004866226299022092
1388787,2002-08-19T11:08:22,7.7,-23.884,178.495,675.4,4600908,2014-05-04T09:15:52,6.6,4.26e+20,1.1000000000000003,-24.6108,179.0856,527.0,44,167.74984425356303,99.99999999991316,0.595294476695828,0.009582732304169212
1388787,2002-08-19T11:08:22,7.7,-23.884,178.495,675.4,2009482,2005-03-19T17:34:45,6.3,4.26e+20,1.4000000000000004,-21.893,-179.547,598.7,43,123.18138334610106,13.023468651929354,0.7948239806571081,0.009733401173851923
1388787,2002-08-19T11:08:22,7.7,-23.884,178.495,675.4,1894928,2004-11-23T21:04:56,5.9,4.26e+20,1.7999999999999998,-24.294,178.99,532.3,19,183.4478045580753,99.99999999999851,0.8456289392682211,0.01056918685538716
1097023,2001-09-12T08:48:37,6.5,-20.993,-179.109,608.1,5149577,2015-06-16T06:17:00,5.9,5.719999999999999e+18,0.5999999999999996,-20.3944,-179.0024,656.0,22,3.9323002006638466,0.4706335199438874,0.22004812058880766,0.008477106950661839
1097023,2001-09-12T08:48:37,6.5,-20.993,-179.109,608.1,1864207,2004-12-17T07:13:09,5.8,5.719999999999999e+18,0.7000000000000002,-21.901,-179.301,593.3,6,4.4986664230362425,0.2979975347123309,0.14679928404122444,0.012723600607905788
926544,2000-06-14T02:15:28,6.4,-25.516,178.046,604.6,10600157,2018-01-02T14:57:19,5.9,5.32e+18,0.5,-24.8235,178.45,579.49,6,4.236347255108857,0.5191026284709785,0.19265335517983626,0.01322305559170543
883990,2000-05-04T20:36:29,6.5,-17.914,-178.52200000000005,515.8,10955349,2018-10-04T04:16:21,5.5,5.83e+18,1.0,-17.8372,-178.5215,590.03,4,17.641379048068725,0.6159706789215914,0.15507304691318854,0.016741784818912583
883990,2000-05-04T20:36:29,6.5,-17.914,-178.52200000000005,515.8,10955349,2018-10-04T04:16:21,5.5,5.83e+18,1.0,-17.8372,-178.5215,590.03,4,17.641379048068725,0.6159706789215914,0.15507304691318854,0.015222534560393196
907306,2000-01-13T20:07:12,6.2,-17.61,-178.74200000000005,535.0,1822889,2004-10-13T20:30:01,5.5,2.5899999999999995e+18,0.7000000000000002,-17.595,-178.922,566.3,5,4.258200399493506,0.7450553670364023,0.3386668657656013,0.012766558638113778
