#EventID | Time | Latitude | Longitude | Depth/km | Author | Catalog | Contributor | ContributorID | MagType | Magnitude | MagAuthor | EventLocationName | gcmt_lat | gcmt_lon | gcmt_dep | gcmt_mag | gcmt magtype| M0(dyne_cm)
10980590|2018-12-05T16:05:12|-12.7848|168.5208|625.15|us|NEIC PDE|us|us1000i2vp|mb|5.3|us|SANTA CRUZ ISLANDS REGION|nan|nan|nan|nan|nan|2.47e24
10977880|2018-12-02T10:21:25|-18.1496|-178.2528|522.67|us|NEIC PDE|us|us1000i0e2|mb|5.0|us|FIJI ISLANDS REGION|nan|nan|nan|nan|nan|7.74e23
10974984|2018-11-27T03:13:56|-22.1348|-178.8349|548.33|us|NEIC PDE|us|us1000hwx6|mb|5.0|us|SOUTH OF FIJI ISLANDS|nan|nan|nan|nan|nan|1.09e24
10974966|2018-11-27T02:45:32|-17.8868|-178.5701|568.4|us|NEIC PDE|us|us1000hwwp|Mww|5.6|us|FIJI ISLANDS REGION|-17.91|-178.55|591.2|5.7|Mw|4.71e24
10973830|2018-11-22T22:13:52|-21.0557|-178.5288|527.77|us|NEIC PDE|us|us1000hvka|Mww|5.3|us|FIJI ISLANDS REGION|nan|nan|nan|nan|nan|1.22e24
10972756|2018-11-18T20:25:45|-17.8972|-178.9|533.6|pt,at,us|NEIC PDE|us|us1000htm5,at00pieoqx,pt18322000|Mww|6.7|us|FIJI ISLANDS REGION|-17.85|-178.78|561.2|6.8|Mw|1.72e26
10968928|2018-11-08T01:18:39|-20.951|-178.4323|556.49|us|NEIC PDE|us|us1000hp3t|mb|5.0|us|FIJI ISLANDS REGION|nan|nan|nan|nan|nan|9.28e23
10967590|2018-11-04T07:55:28|7.7518|123.8646|581.0|us|NEIC PDE|us|us2000i6mv|Mww|6.0|us|MINDANAO, PHILIPPINES|7.87|123.87|600.4|6.0|Mw|1.21e25
10966888|2018-11-02T11:01:15|47.8166|146.7181|431.95|us|NEIC PDE|us|us2000i5tk|Mww|5.9|us|NORTHWEST OF KURIL ISLANDS|47.78|146.86|449.0|6.0|Mw|1.39e25
10961464|2018-10-19T15:20:27|-24.7549|-179.8678|496.67|us|NEIC PDE|us|us1000hehh|Mww|5.4|us|SOUTH OF FIJI ISLANDS|nan|nan|nan|nan|nan|1.53e24
