#EventID | Time | Latitude | Longitude | Depth/km | Author | Catalog | Contributor | ContributorID | MagType | Magnitude | MagAuthor | EventLocationName | neic_lat | neic_lon | neic_dep | neic_mag | neic magtype| M0(dyne_cm)
10977880|2018-12-02T10:21:25|-18.1496|-178.2528|522.67|us|NEIC PDE|us|us1000i0e2|mb|5.0|us|FIJI ISLANDS REGION|nan|nan|nan|nan|nan|7.74e23
10974984|2018-11-27T03:13:56|-22.1348|-178.8349|548.33|us|NEIC PDE|us|us1000hwx6|mb|5.0|us|SOUTH OF FIJI ISLANDS|-17.8924|-178.571|574.21|5.7|mww|1.09e24
10974966|2018-11-27T02:45:32|-17.8868|-178.5701|568.4|us|NEIC PDE|us|us1000hwwp|Mww|5.6|us|FIJI ISLANDS REGION|-17.8924|-178.571|574.21|5.7|mww|4.71e24
10972756|2018-11-18T20:25:45|-17.8972|-178.9|533.6|pt,at,us|NEIC PDE|us|us1000htm5,at00pieoqx,pt18322000|Mww|6.7|us|FIJI ISLANDS REGION|-17.8735|-178.9273|540|6.8|mww|1.72e26
10967590|2018-11-04T07:55:28|7.7518|123.8646|581.0|us|NEIC PDE|us|us2000i6mv|Mww|6.0|us|MINDANAO, PHILIPPINES|7.7599|123.867|600.71|6|mww|1.21e25
10966888|2018-11-02T11:01:15|47.8166|146.7181|431.95|us|NEIC PDE|us|us2000i5tk|Mww|5.9|us|NORTHWEST OF KURIL ISLANDS|47.8334|146.6972|433|6|mww|1.39e25
10958985|2018-10-13T11:10:22|52.8549|153.2429|461.0|pt,at,us|NEIC PDE|us|pt18286001,at00pgjb1a,us1000hbkz|Mww|6.7|us|NORTHWEST OF KURIL ISLANDS|52.8549|153.2429|461|6.7|mww|1.35e26
10955349|2018-10-04T04:16:21|-17.8372|-178.5215|590.03|us|NEIC PDE|us|us1000h6th|Mww|5.5|us|FIJI ISLANDS REGION|-17.8372|-178.5215|590.03|5.5|mww|3.12e24
10953779|2018-09-30T10:52:24|-18.3465|-178.0788|564.13|at,us,pt|NEIC PDE|us|pt18273000,at00pfv7ja,us1000h4l1|mww|6.7|us|FIJI ISLANDS REGION|-18.3604|-178.0633|550|6.7|mww|1.27e26
10952079|2018-09-26T00:37:33|-18.0181|-178.1053|568.67|us|NEIC PDE|us|us2000hk13|Mwb|5.8|us|FIJI ISLANDS REGION|-17.9807|-178.0855|582.37|5.8|mww|5.94e24
10950337|2018-09-21T03:40:40|-17.9071|-179.9776|652.35|us|NEIC PDE|us|us2000hhzn|Mww|5.9|us|FIJI ISLANDS REGION|-17.9071|-179.9776|652.35|5.9|mww|8.49e24
10949287|2018-09-18T12:38:35|-20.5219|-178.2224|516.46|us|NEIC PDE|us|us2000hgcm|Mww|5.5|us|FIJI ISLANDS REGION|-20.517|-178.1882|516.25|5.5|mww|2.73e24
10948555|2018-09-16T21:11:48|-25.421|178.2059|576.0|us|NEIC PDE|us|us2000hfjk|Mww|6.5|us|SOUTH OF FIJI ISLANDS|-25.415|178.1991|576|6.5|mww|6.45e25
10946009|2018-09-09T00:06:24|-24.9658|179.8707|489.11|us|NEIC PDE|us|us2000hb9n|Mww|5.5|us|SOUTH OF FIJI ISLANDS|-24.9658|179.8707|489.11|5.5|mww|2.74e24
10944928|2018-09-06T15:49:14|-18.4952|179.3555|617.87|at,pt,us|NEIC PDE|us|pt18249001,at00pen5a4,us2000h9e2|mww|7.9|us|FIJI ISLANDS|-18.4743|179.3502|670.81|7.9|mww|8.52e27
10944714|2018-09-06T05:13:38|-17.9948|-178.5178|528.61|us|NEIC PDE|us|us2000h94x|Mww|5.5|us|FIJI ISLANDS REGION|-17.9849|-178.5242|528.03|5.5|mww|2.72e24
10942801|2018-09-01T15:43:00|27.9557|139.913|435.0|at,us|NEIC PDE|us|at00pedvnp,us2000h6i8|Mww|5.6|us|BONIN ISLANDS, JAPAN REGION|27.9555|139.9127|435|5.6|mww|3.67e24
10941184|2018-08-28T13:09:11|-18.0299|-177.9387|600.62|us|NEIC PDE|us|us1000gimx|Mww|5.7|us|FIJI ISLANDS REGION|-18.0299|-177.9387|600.62|5.7|mww|4.19e24
10939656|2018-08-24T09:04:06|-11.0424|-70.8169|609.48|us|NEIC PDE|us|us1000ggj4|Mww|7.1|us|PERU-BRAZIL BORDER REGION|-11.0355|-70.8284|630|7.1|mww|5.43e26
10937989|2018-08-20T08:38:00|-18.2465|-178.1738|527.85|us|NEIC PDE|us|us1000gdt6|Mww|5.5|us|FIJI ISLANDS REGION|-18.1766|-178.1823|535.37|5.5|mww|2.98e24
10937540|2018-08-19T00:19:40|-18.1125|-178.1536|600.0|at,pt,us|NEIC PDE|us|pt18231000,at00pdom8q,us1000gcii|mww|8.2|us|FIJI ISLANDS REGION|-18.1125|-178.153|600|8.2|mww|2.52e28
10936816|2018-08-17T15:35:01|-7.4263|119.8341|529.0|us|NEIC PDE|us|us1000gbi4|Mww|6.5|us|FLORES SEA|-7.3718|119.8017|529|6.5|mww|7.32e25
10923774|2018-07-28T17:07:23|-7.1221|122.7474|577.48|us|NEIC PDE|us|us2000gg76|Mww|6.0|us|FLORES SEA|-7.1039|122.7263|578.16|6|mww|1.36e25
10915622|2018-07-20T10:24:57|-28.0684|-63.2543|587.8|us|NEIC PDE|us|us2000g9l7|Mww|5.6|us|SANTIAGO DEL ESTERO PROV., ARG.|-28.027|-63.2284|579|5.6|mww|3.16e24
10907822|2018-07-12T06:51:21|-23.337|-179.9115|541.3|us|NEIC PDE|us|us2000g2se|Mww|5.5|us|SOUTH OF FIJI ISLANDS|-23.337|-179.9115|541.3|5.5|mww|3.27e24
10801956|2018-05-10T18:02:28|6.8698|123.762|535.0|us|NEIC PDE|us|us1000e26e|Mww|5.9|us|MINDANAO, PHILIPPINES|6.8698|123.762|535|5.9|mww|8.32e24
10767119|2018-05-01T19:47:53|-18.0199|-177.9375|585.0|us|NEIC PDE|us|us1000dvii|Mww|5.9|us|FIJI ISLANDS REGION|-18.0199|-177.9375|585|5.9|mww|8.17e24
