#EventID | Time | Latitude | Longitude | Depth/km | Author | Catalog | Contributor | ContributorID | MagType | Magnitude | MagAuthor | EventLocationName
10980590|2018-12-05T16:05:12|-12.7848|168.5208|625.15|us|NEIC PDE|us|us1000i2vp|mb|5.3|us|SANTA CRUZ ISLANDS REGION
10977880|2018-12-02T10:21:25|-18.1496|-178.2528|522.67|us|NEIC PDE|us|us1000i0e2|mb|5.0|us|FIJI ISLANDS REGION
10976910|2018-12-01T05:49:16|-20.948|-178.5823|561.5|us|NEIC PDE|us|us1000hz9x|mb|5.0|us|FIJI ISLANDS REGION
10974984|2018-11-27T03:13:56|-22.1348|-178.8349|548.33|us|NEIC PDE|us|us1000hwx6|mb|5.0|us|SOUTH OF FIJI ISLANDS
10974966|2018-11-27T02:45:32|-17.8868|-178.5701|568.4|us|NEIC PDE|us|us1000hwwp|Mww|5.6|us|FIJI ISLANDS REGION
10973830|2018-11-22T22:13:52|-21.0557|-178.5288|527.77|us|NEIC PDE|us|us1000hvka|Mww|5.3|us|FIJI ISLANDS REGION
10972756|2018-11-18T20:25:45|-17.8972|-178.9|533.6|pt,at,us|NEIC PDE|us|us1000htm5,at00pieoqx,pt18322000|Mww|6.7|us|FIJI ISLANDS REGION
10969976|2018-11-10T12:57:12|-18.1168|-178.032|561.57|us|NEIC PDE|us|us1000hq9w|mb|5.0|us|FIJI ISLANDS REGION
10968928|2018-11-08T01:18:39|-20.951|-178.4323|556.49|us|NEIC PDE|us|us1000hp3t|mb|5.0|us|FIJI ISLANDS REGION
10967590|2018-11-04T07:55:28|7.7518|123.8646|581.0|us|NEIC PDE|us|us2000i6mv|Mww|6.0|us|MINDANAO, PHILIPPINES
10966888|2018-11-02T11:01:15|47.8166|146.7181|431.95|us|NEIC PDE|us|us2000i5tk|Mww|5.9|us|NORTHWEST OF KURIL ISLANDS
10961464|2018-10-19T15:20:27|-24.7549|-179.8678|496.67|us|NEIC PDE|us|us1000hehh|Mww|5.4|us|SOUTH OF FIJI ISLANDS
10958985|2018-10-13T11:10:22|52.8549|153.2429|461.0|pt,at,us|NEIC PDE|us|pt18286001,at00pgjb1a,us1000hbkz|Mww|6.7|us|NORTHWEST OF KURIL ISLANDS
10956612|2018-10-07T17:42:21|-28.1213|-179.2646|400.0|us|NEIC PDE|us|us1000h8g6|Mww|5.6|us|KERMADEC ISLANDS REGION
10955349|2018-10-04T04:16:21|-17.8372|-178.5215|590.03|us|NEIC PDE|us|us1000h6th|Mww|5.5|us|FIJI ISLANDS REGION
10953779|2018-09-30T10:52:24|-18.3465|-178.0788|564.13|at,us,pt|NEIC PDE|us|pt18273000,at00pfv7ja,us1000h4l1|mww|6.7|us|FIJI ISLANDS REGION
